Date,High,Low,Close
14-12-2020,524.159973,501.179993,522.419983
15-12-2020,524.700012,513.559998,519.780029
16-12-2020,527.380005,517.690002,524.830017
17-12-2020,535.48999,526.440002,532.900024
18-12-2020,536.369995,526.02002,534.450012
21-12-2020,532.619995,521.150024,528.909973
22-12-2020,530.400024,520.5,527.330017
23-12-2020,526.320007,514.200012,514.47998
24-12-2020,519.349976,512.210022,513.969971
28-12-2020,523.659973,507.130005,519.119995
29-12-2020,536.549988,515.47998,530.869995
30-12-2020,533.26001,523.690002,524.590027
31-12-2020,545.5,523.150024,540.72998
04-01-2021,540.799988,515.090027,522.859985
05-01-2021,526.780029,515.890015,520.799988
06-01-2021,513.099976,499.5,500.48999
07-01-2021,516.440002,506.420013,508.890015
08-01-2021,513.23999,504.51001,510.399994
11-01-2021,510.730011,497.950012,499.100006
12-01-2021,501.089996,485.670013,494.25
13-01-2021,512.349976,493.01001,507.790009
14-01-2021,514.5,499.579987,500.859985
15-01-2021,506.320007,495.100006,497.980011
19-01-2021,509.25,493.540009,501.769989
20-01-2021,593.289978,556.859985,586.340027
21-01-2021,588.75,570.400024,579.840027
22-01-2021,583.98999,564.349976,565.169983
25-01-2021,569.75,548.650024,556.780029
26-01-2021,567.98999,554.059998,561.929993
27-01-2021,556.419983,515.72998,523.280029
28-01-2021,553.150024,530.73999,538.599976
29-01-2021,541,530.179993,532.390015
01-02-2021,545.059998,531.72998,539.039978
02-02-2021,555.47998,538.929993,548.159973
03-02-2021,550.47998,538.23999,539.450012
04-02-2021,559.47998,537.51001,552.159973
05-02-2021,554.440002,545.47998,550.789978
08-02-2021,555,543.700012,547.919983
09-02-2021,566,543,559.070007
10-02-2021,566.650024,553.460022,563.590027
11-02-2021,565.929993,554.219971,557.590027
12-02-2021,561.25,550.849976,556.52002
16-02-2021,563.630005,552.72998,557.280029
17-02-2021,555.25,543.030029,551.340027
18-02-2021,550,538.22998,548.219971
19-02-2021,548.98999,538.809998,540.219971
22-02-2021,541.789978,530.789978,533.780029
23-02-2021,548.539978,518.280029,546.150024
24-02-2021,556.849976,539.070007,553.409973
25-02-2021,556.47998,535.75,546.700012
26-02-2021,553.090027,538,538.849976
01-03-2021,552.140015,542,550.640015
02-03-2021,556.98999,546.02002,547.820007
03-03-2021,548.01001,517.809998,520.700012
04-03-2021,531.5,507.679993,511.290009
05-03-2021,517.76001,498.790009,516.390015
08-03-2021,518.840027,492.850006,493.329987
09-03-2021,513.109985,503.820007,506.440002
10-03-2021,518.969971,504.25,504.540009
11-03-2021,530.23999,510.709991,523.059998
12-03-2021,526.51001,506.589996,518.02002
15-03-2021,520.72998,508.029999,520.25
16-03-2021,533.419983,523.210022,524.030029
17-03-2021,528.369995,514.299988,524.440002
18-03-2021,517.900024,503.850006,504.790009
19-03-2021,513.190002,501.630005,512.179993
22-03-2021,529.309998,509.130005,523.109985
23-03-2021,543.119995,529.400024,535.090027
24-03-2021,534.419983,520,520.809998
25-03-2021,518.530029,497,502.859985
26-03-2021,508.720001,496.679993,508.049988
29-03-2021,518,504.399994,513.950012
30-03-2021,514.409973,506.910004,513.390015
31-03-2021,528.130005,515.440002,521.659973
01-04-2021,540.5,527.030029,539.419983
05-04-2021,542.849976,529.22998,540.669983
06-04-2021,554.169983,543.299988,544.530029
07-04-2021,549.640015,541.450012,546.98999
08-04-2021,556.900024,547.570007,554.580017
